No;EXPEDIENTE;CODIGO OSINERGMIN;REGISTRO;RUC;RAZON SOCIAL;DIRECCION OPERATIVA;DEPARTAMENTO;PROVINCIA;DISTRITO;TIPO DE ESTABLECIMIENTO;TANQUE 1;TANQUE 2;TANQUE 3;TANQUE 4;TANQUE 5;TANQUE 6;TANQUE 7;TANQUE 8;TANQUE 9;TANQUE 10;CAP.TOTAL CL (gln);FEC. EMISION;TÉRMINO DE VIGENCIA;REPRESENTANTE;GLP EN CILINDROS (kg)
603;202200075469;6864;6864-050-160522;20486292378;ESTACIÓN DE SERVICIOS REAL LA OROYA S.A.;CARRETERA CENTRAL KM. 164 LIMA - LA OROYA URBANIZACIÓN CURIPATA - HUAYNACANCHA;JUNIN;YAULI;LA OROYA;ESTACIONES DE SERVICIOS;C1:8000:Diesel B5 S-50 ;C1:8000:Diesel B5 S-50 ;C1:4000:GASOHOL 97 PLUS ;C1:4000:GASOHOL 90 PLUS ;C1:4000:GASOHOL 95 PLUS ;C1:4000:GASOHOL 95 PLUS ;;;;;32000;16/05/2022;INDEFINIDO;PARRAGA CORREA ROBERTO PAULINO;0
604;202000103195;105955;105955-050-240820;20602397280;INVERSIONES GENERALES Q & G PERU S.A.C.;VIA LOS LIBERTARDORES KM. 111.50 - ANEXO CHOCORVO;HUANCAVELICA;HUAYTARA;HUAYTARA;ESTACIONES DE SERVICIOS;C1:2000:Diesel B5 S-50 C2:2000:GASOHOL 90 PLUS ;;;;;;;;;;4000;24/08/2020;INDEFINIDO;JULIA QUINTANILLA GARAY;0
605;201900108830;134336;134336-050-150719;20559840697;MULTINEGOCIOS EMPRESARIALES JHIRE S.A.C.;CALLE TUNGSTENO S/N BARRIO SAN JOSE;LA LIBERTAD;SANTIAGO DE CHUCO;SANTIAGO DE CHUCO;ESTACIONES DE SERVICIOS;C1:5000:Diesel B5 S-50 ;C1:2000:GASOHOL 95 PLUS C2:3000:GASOHOL 90 PLUS ;;;;;;;;;10000;15/07/2019;INDEFINIDO;MARCELA JOVANNY ESQUIVEL SALINAS;0
606;202300055704;137688;137688-050-010523;20503840121;REPSOL COMERCIAL S.A.C.;AV. BAUZATE Y MEZA N° 1050;LIMA;LIMA;LA VICTORIA;ESTACIONES DE SERVICIOS;C1:5000:SIN PRODUCTO C2:5000:GASOHOL REGULAR ;C1:5000:GASOHOL PREMIUM C2:5000:Diesel B5 S-50 ;C1:10000:Diesel B5 S-50 ;;;;;;;;30000;1/05/2023;INDEFINIDO;VICTOR GONZALO CASTILLO OVIEDO;0
607;202300045504;137823;137823-050-230323;20107034413;YAVA S.A.C;PUEBLO JOVEN - LA LIBERTAD MZ. Z1 - LOTE 01;AYACUCHO;HUAMANGA;AYACUCHO;ESTACIONES DE SERVICIOS;C1:5000:GASOHOL 95 PLUS ;C1:5000:GASOHOL 90 PLUS ;C1:5000:Diesel B5 S-50 ;C1:5000:GASOHOL 90 PLUS ;C1:10000:Diesel B5 S-50 ;;;;;;30000;23/03/2023;INDEFINIDO;ANIBAL PEDRO YANCE VALENZUELA;0
608;201900162245;132317;132317-050-091019;20127765279;COESTI S.A.;ASOCIACIÓN DE MICROEMPRESARIOS DE LA IRRIGACIÓN MAJES 'AMEIM', MZ. T, LOTE Nº 6 Y Nº 7;AREQUIPA;CAYLLOMA;MAJES;ESTACIONES DE SERVICIOS;C1:4600:Diesel B5 S-50 ;C1:4600:Diesel B5 S-50 ;C1:2600:GASOHOL 95 PLUS C2:2600:GASOHOL 90 PLUS ;;;;;;;;14400;9/10/2019;INDEFINIDO;ABRAHAM HUGO CALDERON MAVILA;0
609;202100248355;157362;157362-050-291121;20605564616;PETRO COMPANY PERU SOCIEDAD ANONIMA CERRADA;AV PROCERES MZ N LOTE 3 ASOCIACION PROVIVIENDA NUEVO AMANECER PUCAYACU;PASCO;PASCO;YANACANCHA;ESTACIONES DE SERVICIOS;C1:9000:Diesel B5 S-50 ;C1:1000:GASOHOL 95 PLUS C2:3000:GASOHOL 90 PLUS ;C1:6500:Diesel B5 S-50 ;;;;;;;;19500;29/11/2021;INDEFINIDO;PONCE DE LA ROSA FRANK CHRISTIAN;0
610;201800147837;64224;64224-050-270918;20555055944;SERVICENTRO PETROINCA S.A.C. ;AV. FRANCISCO CARLE N° 1255 BARRIO CORMIS;JUNIN;JAUJA;JAUJA;ESTACIONES DE SERVICIOS;C1:5900:Diesel B5 S-50 ;C1:2300:GASOHOL 95 PLUS C2:2300:GASOHOL 90 PLUS ;C1:1250:GASOHOL 90 PLUS ;;;;;;;;11750;25/09/2018;INDEFINIDO;EMMA NINFA SANCHEZ YUPANQUI;240
611;201700123254;36832;36832-050-040817;20100625513;VAL TRADING S.A.C.;AV. SEBASTIAN LORENTE N° 698;LIMA;LIMA;LIMA;ESTACIONES DE SERVICIOS;C1:6000:Diesel B5 S-50 ;C1:10300:GASOHOL 90 PLUS ;C1:4000:GASOHOL 97 PLUS ;C1:6000:GASOHOL 95 PLUS ;C1:5200:SIN PRODUCTO ;;;;;;31500;4/08/2017;INDEFINIDO;TEDDY FRANCISCO CARDENAS CORDOVA;0
612;202000013834;140703;140703-050-270120;20603691955;ESTACION DE SERVICIOS PETRO MAPI S.A.C.;SECTOR ÑAHUIPUJIO, COMUNIDAD CAMPESINA DE CHOQUEPATA;CUSCO;QUISPICANCHI;OROPESA;ESTACIONES DE SERVICIOS;C1:7000:GASOHOL 90 PLUS ;C1:10000:Diesel B5 S-50 ;C1:5000:GASOHOL 90 PLUS C2:5000:GASOHOL 95 PLUS ;C1:10000:Diesel B5 S-50 ;C1:10000:Diesel B5 S-50 ;;;;;;47000;27/01/2020;INDEFINIDO;MAURO HOLGADO QUISPE ;0
613;201900164443;97126;97126-050-221019;10248851657;GUILLERMO QUISPE CRUZ;LOTE N°8, MZ. M-1, PPJJ. ANTAPAMPA;CUSCO;ESPINAR;ESPINAR;PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS;C1:6030:Diesel B5 S-50 ;C1:3015:GASOHOL 84 PLUS ;C1:2781:GASOHOL 95 PLUS ;C1:2781:GASOHOL 90 PLUS ;C1:2781:Diesel B5 S-50 ;;;;;;17388;22/10/2019;INDEFINIDO;GUILLERMO QUISPE CRUZ;0
614;201700223136;55926;55926-050-040118;20527481946;GRIFO SEÑOR DE CCOYLLORRITTI INVERSIONES ARMINTA E.I.R.L.;KM. 86 + 600, CARRETERA SICUANI;CUSCO;CANCHIS;CHECACUPE;ESTACIONES DE SERVICIOS;C1:4000:Diesel B5 S-50 ;C1:4000:GASOHOL 84 PLUS ;C1:3321:GASOHOL 90 PLUS ;;;;;;;;11321;4/01/2018;INDEFINIDO;ARMINTA LIMA SEGUNDO;240
